Status,State,Year,Moving Party,Responding Party,Moving Actions,Responding Actions,Investigators Victim,Investigators Perpetrator,Lawyers Responding,Lawyers Moving,Arts Business Areas,Responding Arts Area,Moving Arts Area,Experts Victim,Experts Perpetrators,Videos,Links,,
Investigated,California,1954,Joe DiMaggio,Marilyn Monroe,"Survielled, Break-In, Strong Arming",,,Barney Rudisky,,,"Film, Sports, Fixers",,,,,,https://www.vanityfair.com/hollywood/2003/04/robert-harrison-confidential-magazine,,
Tax Investigation,Connecticut,,Vince McMahon,Women at WWE,"Settlements, Payments",Settled,,,,,"TV, Sports, Billionaires",,,,,,,,
Death,California,1998,"Eddie Murphy, Marty Singer",Shalimar Sueli,"Offer, Profiling, Fixers",Refuse,,Hollywood Fixers,,,"Film, Dancing, Fixers",,,,,,https://en.wikipedia.org/wiki/Shalimar_Seiuli,,
Reported,New York,2024,"P Diddy, Sean Combs","Witnesses, Lil Rod, daughter, TikToker","Fixers, Witness Intimidation",Lawsuit,,Russell Greene,,,"Music, Employees, Journalists, Fixers, Investigators",,,,,,https://www.youtube.com/watch?v=qr3zYt5Ae-s,,
Ignored,California,,Bill Clinton,Monica Lewinsky,Profiling,Unknown,,Jack Palladino,,,"Politics, Fixers",,,,,,,,
"Ignored, Fled",California,2016-2021,Harvey Weinstein,Rose McGowan,"Blackcube, Jack Palladino","Defrauded, Survielled",,"Jack Palladino, Blackcube",,,"Film, Fixers",,,,,,,,
Death,California,1993/1994,OJ Simpson,Nicole Brown,"Surviellance, Anthony Pellicano",Letters to Lawyer,,Anthony Pellicano,,Robert Shapiro,"Sports, Commercials, Fixers",,,,,,,,
Voided,California,2016-2017,Harvey Weinstein,Rose McGowan,Settlement Letter,"Defrauded, Sexually Assaulted",,,,,Film,,,,,,,,
Brokered,California,,Kevin Costner,,"Brokering, Brokering to Tabloids",,,Anthony Pellicano,,,"Film, Fixers",,,,,,,,
Unknown,New York,,Jim Carrey,"Vincent Briatore, YouTuber",Cease & Desist,Publish,,,,Jackoway Austen Tyerman Wertheimer Mandelbaum Morris Bernstein Trattner Klein,"Film, YouTube",,,,,,https://x.com/vincentbriatore/status/1625653757357817857,https://www.dailydot.com/debug/jim-carrey-lawsuit-youtuber-jeffrey-epstein/,
Not Active,California-UK,2001-2019,"Nathan Hamilton, Roz Lipchitz",Hollywood Fixer,"Witness, Complaints",Lawsuit Threatened,,"Hollywood Fixers, Anthony Pellicano",Bert Fields,,"Film, Fixers, Dancing","Film, Bert Fields, Tom Cruise",,,,,,,
"Reported, Unknown",California,,"Angels, Mara Moon, Jacqueline Vonrueden, Poeina Suddarth, Margot Lane, Chantal Knippenburg, Mindy Robinson, Playboy Models",Corey Feldman,"Police Reports, Complaints",,,,,,"Models, Music, Film",,,,,,,,
"Ignored, Obstruction Charges",Illinois,2008,R Kelly,Victims-Witnesses,"Profiling, 6 year investigation","Report, Testify, Too Afraid to Testify",,Jack Palladino,,Ed Genson,"Music, Fixers, Investigators",,,,,,https://www.washingtonpost.com/local/obituaries/jack-palladino-dead/2021/02/01/e7cc96ea-64e1-11eb-8c64-9595888caa15_story.html,,https://en.wikipedia.org/wiki/Jack_Palladino
Active,California,,Alexa Nikolas,Mannee Hailey-McMurray,Restraining Order,,Police,,,,Film,,,,,,,,
Concluded,California,,Brandon Quinn,Alexa Nikolas,Cease & Desist,Spoke for Sexual Harassment Victim,,,,Venable LLP,"Music, Film","Actress, Organization Helping Survivors and Allies in Arts",Musician,,,,,,
